id,title,description,tags,body_part,difficulty,equipment,injury_focus,intensity,
EX_001,Single-Leg Box Squat,Controlled unilateral squat improving knee stability,"squat, unilateral",lower,beginner,bodyweight,knee rehab,low,
EX_002,Depth Jumps,Explosive jump with minimal ground contact,"plyometric, jump",lower,advanced,none,performance,high,
EX_003,Copenhagen Plank,Isometric adductor strengthening,"plank, adductor",core,intermediate,none,groin rehab,medium,
EX_004,Seated DB Shoulder Press,Vertical pressing for shoulder strength,"press, shoulder",upper,intermediate,dumbbell,none,medium,
EX_005,Wall Sit,Isometric quad endurance hold,"isometric, quad",lower,beginner,bodyweight,knee rehab,low,
EX_006,Lateral Band Walk,Hip stability activation,"glute med, band",lower,beginner,band,hip rehab,low,
EX_007,Barbell Back Squat,Heavy compound squat,"squat, compound",lower,advanced,barbell,none,high,
EX_008,Single-Leg Hop,Explosive unilateral hop,"plyometric, unilateral",lower,advanced,none,performance,high,
EX_009,Dead Bug,Core stabilization drill,"core, stability",core,beginner,bodyweight,back rehab,low,
EX_010,Clamshell,Hip external rotation exercise,glute med,lower,beginner,none,hip rehab,low,
EX_011,Push-Up,Bodyweight upper push,"push, bodyweight",upper,beginner,bodyweight,none,medium,
EX_012,Plank Shoulder Taps,Dynamic plank with shoulder load,"plank, stability",core,intermediate,bodyweight,shoulder rehab,low,
EX_013,Trap Bar Deadlift,Lower body hinge strength,"hinge, compound",lower,advanced,barbell,none,high,
EX_014,Bird Dog,Spinal stability drill,"core, rehab",core,beginner,bodyweight,back rehab,low,
EX_015,Sprint Intervals,High intensity sprint work,"sprint, conditioning",full,body,advanced,none,performance,high
EX_016,Tempo Runs,Moderate sustained running,"endurance, running",full,body,intermediate,none,performance,medium
EX_017,Step-Ups,Controlled unilateral strength,"step, unilateral",lower,beginner,bodyweight,knee rehab,low,
EX_018,Overhead Carry,Loaded shoulder stability,"carry, stability",full,body,intermediate,dumbbell,shoulder rehab,medium
EX_019,Bench Press,Horizontal press strength,"press, compound",upper,advanced,barbell,none,high,
EX_020,Side Plank,Lateral core stability,"plank, core",core,beginner,bodyweight,back rehab,low,
EX_021,Reverse Lunges,Backward stepping lunge,"lunge, unilateral",lower,beginner,bodyweight,knee rehab,low,
EX_022,Forward Lunges,Forward lunge movement,"lunge, unilateral",lower,intermediate,bodyweight,none,medium,
